Episode Number,Reward Sum,Running Reward
657,-21.0,-20.3861434315317
658,-21.0,-20.392281997216383
659,-20.0,-20.38835917724422
660,-20.0,-20.384475585471776
661,-20.0,-20.380630829617058
662,-21.0,-20.38682452132089
663,-20.0,-20.38295627610768
664,-20.0,-20.379126713346604
665,-19.0,-20.36533544621314
666,-21.0,-20.371682091751012
667,-20.0,-20.3679652708335
668,-20.0,-20.364285618125166
669,-20.0,-20.360642761943915
670,-20.0,-20.357036334324473
671,-20.0,-20.353465970981226
672,-20.0,-20.349931311271412
673,-21.0,-20.356431998158698
674,-21.0,-20.36286767817711
675,-20.0,-20.359239001395338
676,-20.0,-20.355646611381385
677,-21.0,-20.362090145267572
678,-20.0,-20.358469243814895
679,-21.0,-20.364884551376747
680,-20.0,-20.361235705862978
681,-21.0,-20.367623348804347
682,-21.0,-20.373947115316305
683,-21.0,-20.380207644163143
684,-19.0,-20.36640556772151
685,-21.0,-20.372741512044296
686,-21.0,-20.379014096923854
687,-19.0,-20.365223955954615
688,-20.0,-20.36157171639507
689,-19.0,-20.347955999231118
690,-20.0,-20.344476439238807
691,-20.0,-20.34103167484642
692,-19.0,-20.327621358097957
693,-20.0,-20.324345144516975
694,-21.0,-20.331101693071805
695,-21.0,-20.337790676141086
696,-21.0,-20.344412769379677
697,-21.0,-20.35096864168588
698,-20.0,-20.347458955269023
699,-20.0,-20.34398436571633
700,-21.0,-20.350544522059167
701,-21.0,-20.357039076838575
702,-20.0,-20.353468686070187
703,-19.0,-20.339933999209485
704,-21.0,-20.34653465921739
705,-20.0,-20.343069312625214
706,-21.0,-20.349638619498965
707,-21.0,-20.356142233303977
708,-20.0,-20.352580810970938
709,-21.0,-20.35905500286123
710,-20.0,-20.355464452832617
711,-21.0,-20.36190980830429
712,-20.0,-20.358290710221247
713,-20.0,-20.354707803119034
714,-21.0,-20.361160725087846
715,-21.0,-20.36754911783697
716,-21.0,-20.3738736266586
717,-21.0,-20.380134890392014
718,-21.0,-20.386333541488096
719,-21.0,-20.392470206073217
720,-21.0,-20.398545504012485
721,-18.0,-20.37456004897236
722,-21.0,-20.380814448482635
723,-19.0,-20.367006303997808
724,-21.0,-20.37333624095783
725,-21.0,-20.37960287854825
726,-19.0,-20.36580684976277
727,-21.0,-20.372148781265143
728,-21.0,-20.378427293452493
729,-20.0,-20.37464302051797
730,-21.0,-20.38089659031279
731,-20.0,-20.37708762440966
732,-21.0,-20.383316748165566
733,-21.0,-20.389483580683912
734,-18.0,-20.365588744877073
735,-21.0,-20.371932857428302
736,-21.0,-20.37821352885402
737,-21.0,-20.384431393565478
738,-17.0,-20.350587079629825
739,-19.0,-20.337081208833528
740,-21.0,-20.343710396745195
741,-20.0,-20.34027329277774
742,-18.0,-20.316870559849963
743,-21.0,-20.323701854251464
744,-21.0,-20.33046483570895
745,-21.0,-20.33716018735186
746,-20.0,-20.333788585478338
747,-21.0,-20.340450699623556
748,-21.0,-20.34704619262732
749,-18.0,-20.323575730701048
750,-20.0,-20.320339973394038
751,-20.0,-20.317136573660097
752,-19.0,-20.303965207923497
753,-21.0,-20.310925555844264
754,-21.0,-20.317816300285823
755,-20.0,-20.314638137282966
756,-20.0,-20.311491755910136
757,-21.0,-20.318376838351035
758,-21.0,-20.325193069967526
759,-20.0,-20.32194113926785
760,-21.0,-20.328721727875173
761,-21.0,-20.33543451059642
762,-20.0,-20.332080165490456
763,-20.0,-20.32875936383555
764,-21.0,-20.3354717701972
765,-19.0,-20.322117052495226
766,-20.0,-20.318895881970274
767,-21.0,-20.325706923150573
768,-21.0,-20.33244985391907
769,-17.0,-20.29912535537988
770,-21.0,-20.306134101826082
771,-20.0,-20.30307276080782
772,-21.0,-20.310042033199743
773,-19.0,-20.296941612867748
774,-21.0,-20.30397219673907
775,-19.0,-20.290932474771683
776,-20.0,-20.288023150023964
777,-21.0,-20.295142918523723
778,-21.0,-20.302191489338487
779,-20.0,-20.299169574445102
780,-21.0,-20.30617787870065
781,-20.0,-20.303116099913645
782,-21.0,-20.31008493891451
783,-21.0,-20.316984089525366
784,-20.0,-20.313814248630113
785,-21.0,-20.32067610614381
786,-21.0,-20.327469345082374
787,-19.0,-20.314194651631553
788,-21.0,-20.32105270511524
789,-21.0,-20.32784217806409
790,-21.0,-20.334563756283448
791,-21.0,-20.341218118720615
792,-20.0,-20.337805937533407
793,-19.0,-20.324427878158073
794,-21.0,-20.33118359937649
795,-21.0,-20.337871763382726
796,-21.0,-20.344493045748898
797,-20.0,-20.341048115291407
798,-21.0,-20.347637634138493
799,-19.0,-20.33416125779711
800,-21.0,-20.34081964521914
801,-21.0,-20.347411448766948
802,-19.0,-20.33393733427928
803,-21.0,-20.34059796093649
804,-20.0,-20.337191981327123
805,-18.0,-20.31382006151385
806,-20.0,-20.31068186089871
807,-20.0,-20.307575042289724
808,-21.0,-20.314499291866827
809,-20.0,-20.311354298948157
810,-21.0,-20.318240755958676
811,-20.0,-20.315058348399088
812,-21.0,-20.321907764915096
813,-20.0,-20.318688687265944
814,-20.0,-20.31550180039328
815,-20.0,-20.312346782389348
816,-21.0,-20.319223314565455
817,-20.0,-20.3160310814198
818,-21.0,-20.322870770605604
819,-19.0,-20.30964206289955
820,-21.0,-20.316545642270555
821,-21.0,-20.32338018584785
822,-21.0,-20.330146383989373
823,-19.0,-20.31684492014948
824,-21.0,-20.323676470947987
825,-19.0,-20.31043970623851
826,-21.0,-20.317335309176123
827,-20.0,-20.314161956084362
828,-21.0,-20.32102033652352
829,-20.0,-20.317810133158286
830,-21.0,-20.324632031826702
831,-20.0,-20.321385711508434
832,-21.0,-20.32817185439335
833,-21.0,-20.334890135849417
834,-19.0,-20.321541234490923
835,-21.0,-20.328325822146013
836,-21.0,-20.335042563924553
837,-19.0,-20.321692138285307
838,-19.0,-20.308475216902455
839,-21.0,-20.31539046473343
840,-21.0,-20.322236560086097
841,-20.0,-20.319014194485234
842,-21.0,-20.325824052540383
843,-21.0,-20.33256581201498
844,-21.0,-20.33924015389483
845,-21.0,-20.345847752355883
846,-20.0,-20.342389274832325
847,-21.0,-20.348965382084003
848,-21.0,-20.355475728263166
849,-17.0,-20.321920970980536
850,-20.0,-20.31870176127073
851,-19.0,-20.305514743658026
852,-21.0,-20.312459596221448
853,-20.0,-20.30933500025923
854,-20.0,-20.306241650256638
855,-20.0,-20.303179233754072
856,-21.0,-20.310147441416532
857,-20.0,-20.307045967002367
858,-20.0,-20.303975507332343
859,-21.0,-20.31093575225902
860,-21.0,-20.317826394736432
861,-20.0,-20.314648130789067
862,-20.0,-20.311501649481176
863,-21.0,-20.318386632986364
864,-20.0,-20.3152027666565
865,-21.0,-20.322050738989937
866,-21.0,-20.328830231600037
867,-20.0,-20.325541929284036
868,-20.0,-20.322286509991194
869,-20.0,-20.31906364489128
870,-21.0,-20.325873008442368
