Episode Number,Reward Sum,Running Reward
5982,-19,-20.15529921
5983,-20,-20.15374622
5984,-21,-20.16220875
5985,-21,-20.17058667
5986,-21,-20.1788808
5987,-21,-20.18709199
5988,-20,-20.18522107
5989,-20,-20.18336886
5990,-20,-20.18153517
5991,-19,-20.16971982
5992,-19,-20.15802262
5993,-20,-20.1564424
5994,-18,-20.13487797
5995,-21,-20.14352919
5996,-19,-20.1320939
5997,-19,-20.12077296
5998,-20,-20.11956523
5999,-21,-20.12836958
6000,-21,-20.13708588
6001,-21,-20.14571502
6002,-19,-20.13425787
6003,-20,-20.1329153
6004,-20,-20.13158614
6005,-19,-20.12027028
6006,-19,-20.10906758
6007,-18,-20.0879769
6008,-21,-20.09709713
6009,-17,-20.06612616
6010,-21,-20.0754649
6011,-21,-20.08471025
6012,-20,-20.08386315
6013,-20,-20.08302452
6014,-20,-20.08219427
6015,-20,-20.08137233
6016,-20,-20.08055861
6017,-21,-20.08975302
6018,-21,-20.09885549
6019,-21,-20.10786694
6020,-21,-20.11678827
6021,-21,-20.12562038
6022,-21,-20.13436418
6023,-19,-20.12302054
6024,-20,-20.12179033
6025,-21,-20.13057243
6026,-18,-20.1092667
6027,-20,-20.10817404
6028,-18,-20.0870923
6029,-21,-20.09622137
6030,-21,-20.10525916
6031,-21,-20.11420657
6032,-20,-20.1130645
6033,-21,-20.12193386
6034,-21,-20.13071452
6035,-21,-20.13940737
6036,-21,-20.1480133
6037,-19,-20.13653317
6038,-21,-20.14516784
6039,-19,-20.13371616
6040,-19,-20.122379
6041,-20,-20.12115521
6042,-17,-20.08994365
6043,-20,-20.08904422
6044,-19,-20.07815378
6045,-21,-20.08737224
6046,-20,-20.08649852
6047,-19,-20.07563353
6048,-19,-20.06487719
6049,-19,-20.05422842
6050,-20,-20.05368614
6051,-19,-20.04314928
6052,-21,-20.05271778
6053,-20,-20.05219061
6054,-21,-20.0616687
6055,-19,-20.05105201
6056,-19,-20.04054149
6057,-21,-20.05013608
6058,-21,-20.05963472
6059,-20,-20.05903837
6060,-20,-20.05844799
6061,-19,-20.04786351
6062,-21,-20.05738487
6063,-21,-20.06681102
6064,-17,-20.03614291
6065,-21,-20.04578148
6066,-19,-20.03532367
6067,-21,-20.04497043
6068,-20,-20.04452073
6069,-20,-20.04407552
6070,-19,-20.03363477
6071,-19,-20.02329842
